Cd_senador;UF;Ano;Cargo;Candidato;Partido;VotaçãoNominal;Situação;Sexo
4981;RO;2014;SENADOR;Acir Gurgacz;PDT;312.614;ELEITO;MASCULINO
4988;RS;2010;SENADOR;ANA AMELIA DE LEMOS;PP;3.401.241;ELEITO;FEMININO
4990;AC;2010;SENADOR;JORGE NEY VIANA MACEDO NEVES;PT;205.593;ELEITO;MASCULINO
4994;AM;2010;SENADOR;CARLOS EDUARDO DE SOUZA BRAGA;PMDB;1.236.970;ELEITO;MASCULINO
5000;SP;2010;SENADOR;MARTA SUPLICY;PT;8.314.027;ELEITO;FEMININO
5002;SC;2010;SENADOR;LUIZ HENRIQUE DA SILVEIRA;PMDB;1.784.019;ELEITO;MASCULINO
5004;RO;2010;SENADOR;IVO NARCISO CASSOL;PP;454.087;ELEITO;MASCULINO
5006;PR;2010;SENADOR;GLEISI HELENA HOFFMANN;PT;3.196.468;ELEITO;FEMININO
5008;PE;2010;SENADOR;HUMBERTO SERGIO COSTA LIMA;PT;3.059.818;ELEITO;MASCULINO
5010;MT;2010;SENADOR;JOSÉ PEDRO GONÇALVES TAQUES;PDT;708.440;ELEITO;MASCULINO
5012;AP;2010;SENADOR;RANDOLPH FREDERICH RODRIGUES ALVES;PSOL;203.259;ELEITO;MASCULINO
5016;PI;2010;SENADOR;JOSE WELLINGTON BARROSO DE ARAUJO DIAS;PT;997.513;ELEITO;MASCULINO
5197;PB;2010;SENADOR;CASSIO RODRIGUES DA CUNHA LIMA;PSDB;1.004.183;ELEITO;MASCULINO
5236;DF;2014;SENADOR;Reguffe;PDT;826.576;ELEITO;MASCULINO
5322;RJ;2014;SENADOR;Romario;PSB;4.683.963;ELEITO;MASCULINO
5523;BA;2014;SENADOR;Otto Alencar;PSD;3.341.111;ELEITO;MASCULINO
5525;AM;2014;SENADOR;Omar Aziz;PSD;933.996;ELEITO;MASCULINO
5527;MS;2014;SENADOR;Simone Tebet;PMDB;640.336;ELEITO;FEMININO
5529;MG;2014;SENADOR;Antonio Anastasia;PSDB;5.102.987;ELEITO;MASCULINO
5531;PI;2014;SENADOR;Elmano;PTB;981.219;ELEITO;MASCULINO
5533;RS;2014;SENADOR;Lasier Martins;PDT;2.145.479;ELEITO;MASCULINO
5535;RR;2014;SENADOR;Telmario Mota;PDT;96.888;ELEITO;MASCULINO
5537;SC;2014;SENADOR;Dario;PMDB;1.308.521;ELEITO;MASCULINO
5540;PE;2014;SENADOR;Fernando Bezerra Coelho;PTB;2.655.912;ELEITO;MASCULINO
