CODIGO;ANO;SENADOR;QTDE_TIPO_DESPESA;QTDE_FORNECEDOR;UF;PARTIDO;DATA_NASC;IDADE;SEXO;VALOR_REEMBOLSADO;QTDE_MATERIAS_PUB;QTDE_TIPO_MATERIA
3;2014;ANTÔNIO CARLOS VALADARES;6;18;SE;PSB;06/04/1943;76;M;244180,47;66;6
3;2013;ANTÔNIO CARLOS VALADARES;5;28;SE;PSB;06/04/1943;76;M;312925,7;98;8
3;2011;ANTÔNIO CARLOS VALADARES;5;13;SE;PSB;06/04/1943;76;M;171749,47;75;8
3;2015;ANTÔNIO CARLOS VALADARES;6;24;SE;PSB;06/04/1943;76;M;333416,49;195;8
3;2016;ANTÔNIO CARLOS VALADARES;5;17;SE;PSB;06/04/1943;76;M;265583,27;80;8
4891;2012;ANTONIO RUSSO;6;33;MS;PR;14/07/1941;77;M;250871,02;11;4
4891;2014;;;;;;;;;;2;1
4891;2013;ANTONIO RUSSO;5;14;MS;PR;14/07/1941;77;M;16688,73;3;1
4891;2011;ANTONIO RUSSO;6;46;MS;PR;14/07/1941;77;M;155519,33;6;3
715;2017;ARMANDO MONTEIRO;6;61;PE;PTB;24/02/1952;67;M;409569,65;59;8
715;2012;ARMANDO MONTEIRO;6;65;PE;PTB;24/02/1952;67;M;321100,62;70;9
715;2014;ARMANDO MONTEIRO;6;29;PE;PTB;24/02/1952;67;M;198459,2;35;7
715;2013;ARMANDO MONTEIRO;6;55;PE;PTB;24/02/1952;67;M;400407,74;89;10
715;2011;ARMANDO MONTEIRO;6;94;PE;PTB;24/02/1952;67;M;283499,3;45;7
715;2016;ARMANDO MONTEIRO;6;27;PE;PTB;24/02/1952;67;M;156706,42;40;6
5164;2017;ATAÍDES OLIVEIRA;4;28;TO;PSDB;18/12/1959;59;M;264956,64;81;10
5164;2014;ATAÍDES OLIVEIRA;5;27;TO;PSDB;18/12/1959;59;M;284403,73;31;5
5164;2013;ATAÍDES OLIVEIRA;4;17;TO;PSDB;18/12/1959;59;M;143984,67;47;5
5164;2011;ATAÍDES OLIVEIRA;3;12;TO;PSDB;18/12/1959;59;M;105908,62;16;3
5164;2015;ATAÍDES OLIVEIRA;5;29;TO;PSDB;18/12/1959;59;M;292559,49;174;8
5164;2016;ATAÍDES OLIVEIRA;4;20;TO;PSDB;18/12/1959;59;M;299616,21;69;6
3432;2011;AUGUSTO BOTELHO;2;4;RR;PT;24/12/1947;71;M;14700;;
3823;2017;BENEDITO DE LIRA;4;25;AL;PP;01/05/1942;76;M;175683,97;41;7
3823;2012;BENEDITO DE LIRA;4;68;AL;PP;01/05/1942;76;M;179224,38;55;8
3823;2014;BENEDITO DE LIRA;4;48;AL;PP;01/05/1942;76;M;144331,81;25;5
3823;2013;BENEDITO DE LIRA;6;39;AL;PP;01/05/1942;76;M;263300,97;49;8
3823;2011;BENEDITO DE LIRA;6;44;AL;PP;01/05/1942;76;M;163840,65;24;8
3823;2015;BENEDITO DE LIRA;4;35;AL;PP;01/05/1942;76;M;183695,11;108;8
3823;2016;BENEDITO DE LIRA;4;40;AL;PP;01/05/1942;76;M;172961,28;30;3
111;2012;BLAIRO MAGGI;6;44;MT;PR;29/05/1956;62;M;135990,85;64;8
111;2014;BLAIRO MAGGI;4;16;MT;PR;29/05/1956;62;M;71008,47;19;5
111;2013;BLAIRO MAGGI;6;37;MT;PR;29/05/1956;62;M;216752,81;72;10
111;2011;BLAIRO MAGGI;5;61;MT;PR;29/05/1956;62;M;147846,28;60;8
111;2015;BLAIRO MAGGI;6;24;MT;PR;29/05/1956;62;M;154411,42;166;10
111;2016;BLAIRO MAGGI;5;16;MT;PR;29/05/1956;62;M;108393,18;25;6
13;2012;CASILDO MALDANER;6;163;SC;MDB;02/04/1942;77;M;291071,25;58;5
13;2014;CASILDO MALDANER;6;106;SC;MDB;02/04/1942;77;M;326156,25;36;4
13;2013;CASILDO MALDANER;6;119;SC;MDB;02/04/1942;77;M;315005,08;62;6
13;2011;CASILDO MALDANER;6;153;SC;MDB;02/04/1942;77;M;227057,03;31;8
